SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day
27-137-7001,2016-05-13,3,8,53,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,13
27-137-7001,2016-05-14,3,10,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,14
27-137-7001,2016-05-15,2,6,41,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,15
27-137-7001,2016-05-16,1,9,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,16
27-137-7001,2016-05-17,1,18,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,17
27-137-7001,2016-05-18,3,22,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,18
27-137-7001,2016-05-19,1,14,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,19
27-137-7001,2016-05-20,7,12,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,5,20
27-137-7001,2016-05-21,4,11,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,21
27-137-7001,2016-05-22,4,9,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,22
27-137-7001,2016-05-23,0,11,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,23
27-137-7001,2016-05-24,0,14,78.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,24
27-137-7001,2016-05-25,2,15,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,25
27-137-7001,2016-05-26,1,21,81.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,26
27-137-7001,2016-05-27,1,18,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,27
27-137-7001,2016-05-28,5,11,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,28
27-137-7001,2016-05-29,4,10,81.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,29
27-137-7001,2016-05-30,2,15,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,30
27-137-7001,2016-05-31,5,15,68.9,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,5,31
27-137-7001,2016-06-01,2,12,71,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,01
27-137-7001,2016-06-02,3,15,74,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,02
27-137-7001,2016-06-03,2,10,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,03
27-137-7001,2016-06-04,0,18,73.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,04
27-137-7001,2016-06-05,0,17,65,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,05
27-137-7001,2016-06-06,0,15,75.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,06
27-137-7001,2016-06-07,4,10,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,6,07
27-137-7001,2016-06-08,1,11,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,08
27-137-7001,2016-06-09,8,13,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,6,09
27-137-7001,2016-06-10,2,9,69.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,10
27-137-7001,2016-06-11,3,11,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,6,11
27-137-7001,2016-06-12,4,11,56,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,6,12
27-137-7001,2016-06-13,0,10,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,13
27-137-7001,2016-06-14,0,10,57.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,14
27-137-7001,2016-06-15,4,11,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,6,15
27-137-7001,2016-06-16,0,47,76.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,16
27-137-7001,2016-06-17,0,9,80,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,17
27-137-7001,2016-06-18,4,10,65.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,6,18
27-137-7001,2016-06-19,1,7,57.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,19
27-137-7001,2016-06-20,5,14,55.4,27,137,7001,47.523355,-92.536305,1899-12-31T05:00:00Z,88101,2016,6,20
27-137-7001,2016-06-21,2,10,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,6,21
27-137-7001,2016-06-22,1,14,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,22
27-137-7001,2016-06-23,0,13,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,23
27-137-7001,2016-06-24,0,10,63.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,24
27-137-7001,2016-06-25,7,13,56.6,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,6,25
27-137-7001,2016-06-26,1,8,63.800000000000004,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,26
27-137-7001,2016-06-27,1,16,66.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,27
27-137-7001,2016-06-28,0,13,81.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,28
27-137-7001,2016-06-29,0,12,79.39999999999999,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,29
27-137-7001,2016-06-30,1,7,80,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,6,30
27-137-7001,2016-07-01,6,10,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,7,01
27-137-7001,2016-07-02,0,6,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,7,02
